latitude,longitude,groundspeed,GPSAltitude,accelerationX,accelerationY,accelerationZ,gyroX,gyroY,gyroZ,temperature,altitude,pressure(hPa)
0.000000,0.000000,0.000000,0.000000,0.222661,-9.768343,1.300052,-0.071145,-0.117510,-0.217167,14.530000,183.899231,997.627319
0.000000,0.000000,0.000000,0.000000,0.007183,-9.318233,1.300052,-0.059421,-0.240616,-0.138560,14.610000,183.989822,997.616577
0.000000,0.000000,0.000000,0.000000,0.143652,-9.809045,1.010353,-0.067681,-0.306698,-0.097259,14.610000,183.989822,997.616577
0.000000,0.000000,0.000000,0.000000,0.179565,-9.718064,1.323994,-0.160410,-0.174266,-0.108983,14.610000,183.989822,997.616577
0.000000,0.000000,0.000000,0.000000,0.509965,-9.279925,0.679953,-0.353329,-0.344003,-0.221697,14.610000,183.989822,997.616577
0.000000,0.000000,0.000000,0.000000,0.715866,-10.034100,0.457293,-0.342671,-0.634980,-0.277920,14.570000,184.467850,997.559814
0.000000,0.000000,0.000000,0.000000,1.347936,-9.641450,-0.320823,-0.230757,-0.814842,-0.289378,14.570000,184.467850,997.559814
0.000000,0.000000,0.000000,0.000000,1.678335,-9.684546,-0.162806,-0.171602,-0.876662,-0.297905,14.570000,184.467850,997.559814
0.000000,0.000000,0.000000,0.000000,2.008735,-9.777920,-0.667982,-0.229691,-0.967792,-0.243280,14.570000,184.467850,997.559814
0.000000,0.000000,0.000000,0.000000,1.994370,-9.684546,-1.244985,-0.215568,-1.155914,-0.081538,14.570000,184.440216,997.563110
0.000000,0.000000,0.000000,0.000000,1.666364,-9.816227,-1.680730,-0.153216,-0.736236,0.148420,14.570000,184.440216,997.563110
0.000000,0.000000,0.000000,0.000000,0.995988,-9.361329,-2.310405,-0.139893,-0.280319,0.123372,14.570000,184.440216,997.563110
0.000000,0.000000,0.000000,0.000000,1.098939,-9.763555,-2.056619,-0.046631,-0.103121,-0.015721,14.570000,184.352692,997.573486
0.000000,0.000000,0.000000,0.000000,1.300052,-9.737218,-2.111686,-0.008793,-0.063951,-0.112447,14.570000,184.352692,997.573486
0.000000,0.000000,0.000000,0.000000,1.376666,-9.718064,-1.733402,0.011991,-0.028245,-0.150285,14.570000,184.352692,997.573486
0.000000,0.000000,0.000000,0.000000,1.601721,-9.619903,-2.092532,0.003730,-0.022383,-0.153216,14.570000,184.352692,997.573486
0.000000,0.000000,0.000000,0.000000,1.462857,-9.636662,-2.063802,-0.038371,0.032242,-0.168937,14.570000,184.324020,997.576904
0.000000,0.000000,0.000000,0.000000,1.752556,-9.569624,-1.857901,-0.064484,0.252873,-0.241415,14.570000,184.324020,997.576904
