latitude,longitude,groundspeed,GPSAltitude,accelerationX,accelerationY,accelerationZ,gyroX,gyroY,gyroZ,temperature,altitude,pressure(hPa)
0.000000,0.000000,0.000000,0.000000,-0.095768,-9.864111,-0.478840,-0.004263,-0.014123,-0.041302,28.600000,178.299622,998.292480
0.000000,0.000000,0.000000,0.000000,-0.086191,-9.835381,-0.526724,-0.008260,-0.015455,-0.034907,28.670000,178.386581,998.282166
0.000000,0.000000,0.000000,0.000000,-0.045490,-9.844957,-0.536301,-0.005596,-0.014655,-0.034374,28.670000,178.386581,998.282166
0.000000,0.000000,0.000000,0.000000,-0.268151,-9.842564,-0.553061,-0.001332,-0.013590,-0.036505,28.670000,178.386581,998.282166
0.000000,0.000000,0.000000,0.000000,-0.100556,-9.864111,-0.320823,0.011724,-0.009593,-0.063685,28.620001,178.912964,998.219604
0.000000,0.000000,0.000000,0.000000,-0.244209,-9.880871,-0.565032,0.008793,-0.013323,-0.058622,28.620001,178.912964,998.219604
0.000000,0.000000,0.000000,0.000000,-0.088585,-9.859323,-0.466869,-0.009859,-0.019185,-0.028778,28.620001,178.912964,998.219604
0.000000,0.000000,0.000000,0.000000,-0.608127,-9.828198,-0.900220,-0.009326,-0.003198,-0.056490,28.620001,178.912964,998.219604
0.000000,0.000000,0.000000,0.000000,-0.153229,-9.861717,-0.414197,0.009326,-0.014922,-0.038371,28.620001,178.870499,998.224670
0.000000,0.000000,0.000000,0.000000,-0.143652,-9.811439,-0.768539,0.093528,-0.014389,-0.060221,28.620001,178.870499,998.224670
0.000000,0.000000,0.000000,0.000000,1.252167,-9.852140,0.040701,-0.002665,-0.035706,-0.005329,28.620001,178.870499,998.224670
0.000000,0.000000,0.000000,0.000000,0.260968,-9.897630,0.050278,-0.030110,-0.008260,-0.030377,28.620001,178.870499,998.224670
0.000000,0.000000,0.000000,0.000000,-0.270545,-9.866506,-0.248997,-0.047963,-0.024515,0.009326,28.620001,178.813721,998.231384
0.000000,0.000000,0.000000,0.000000,0.064643,-9.852140,-0.505177,0.008793,-0.031443,-0.039703,28.620001,178.813721,998.231384
0.000000,0.000000,0.000000,0.000000,-0.332794,-9.852140,-0.478840,0.031176,-0.023982,-0.072744,28.620001,178.813721,998.231384
0.000000,0.000000,0.000000,0.000000,-0.098162,-9.830592,-0.517148,-0.001332,0.002665,0.014123,28.620001,178.813721,998.231384
0.000000,0.000000,0.000000,0.000000,-0.143652,-9.837775,-0.395043,0.013323,-0.008260,-0.009060,28.620001,178.757446,998.238098
0.000000,0.000000,0.000000,0.000000,-0.191536,-9.847352,-0.299275,0.006129,-0.009326,-0.031709,28.620001,178.757446,998.238098
0.000000,0.000000,0.000000,0.000000,0.225055,-9.835381,-0.591368,0.015188,-0.020784,-0.042101,28.620001,178.757446,998.238098
0.000000,0.000000,0.000000,0.000000,0.055067,-9.837775,-0.411803,-0.007994,-0.014655,-0.026380,28.620001,178.757446,998.238098
0.000000,0.000000,0.000000,0.000000,-0.167594,-9.852140,-0.320823,-0.010658,-0.015721,-0.032775,28.620001,178.714478,998.243225
0.000000,0.000000,0.000000,0.000000,-0.035913,-9.828198,-0.550666,-0.014123,-0.013057,-0.024248,28.620001,178.714478,998.243225
0.000000,0.000000,0.000000,0.000000,0.040701,-9.861717,-0.416591,0.008260,-0.015721,-0.026113,28.620001,178.714478,998.243225
0.000000,0.000000,0.000000,0.000000,0.002394,-9.835381,-0.466869,-0.008260,-0.015988,-0.044233,28.620001,178.714478,998.243225
0.000000,0.000000,0.000000,0.000000,-0.141258,-9.864111,-0.478840,-0.008527,-0.013323,-0.045032,28.620001,178.671509,998.248291
0.000000,0.000000,0.000000,0.000000,-0.366313,-9.847352,-0.373495,0.005063,-0.010925,-0.040769,28.620001,178.671509,998.248291
0.000000,0.000000,0.000000,0.000000,-0.296881,-9.837775,-0.438139,0.000000,-0.016254,-0.035173,28.620001,178.671509,998.248291
0.000000,0.000000,0.000000,0.000000,-0.354342,-9.816227,-0.584185,-0.002665,-0.018919,-0.030910,28.620001,178.671509,998.248291
0.000000,0.000000,0.000000,0.000000,-0.215478,-9.852140,-0.505177,-0.005063,-0.018119,-0.029311,28.620001,178.615234,998.255005
0.000000,0.000000,0.000000,0.000000,-0.191536,-9.852140,-0.359130,-0.010925,-0.016787,-0.031975,28.620001,178.615234,998.255005
0.000000,0.000000,0.000000,0.000000,-0.277727,-9.840169,-0.435745,-0.006662,-0.016521,-0.033574,28.620001,178.615234,998.255005
0.000000,0.000000,0.000000,0.000000,-0.313640,-9.852140,-0.366313,0.000266,-0.018119,-0.026380,28.620001,178.572784,998.260010
0.000000,0.000000,0.000000,0.000000,-0.395043,-9.849746,-0.490811,-0.013856,-0.017587,-0.023449,28.620001,178.572784,998.260010
0.000000,0.000000,0.000000,0.000000,-0.220267,-9.849746,-0.509965,-0.003730,-0.015188,-0.039969,28.620001,178.572784,998.260010
0.000000,0.000000,0.000000,0.000000,-0.299275,-9.840169,-0.426168,0.000799,-0.016254,-0.031709,28.620001,178.572784,998.260010
0.000000,0.000000,0.000000,0.000000,-0.328006,-9.859323,-0.438139,-0.001332,-0.016521,-0.033041,28.620001,178.530319,998.265076
0.000000,0.000000,0.000000,0.000000,-0.210690,-9.832987,-0.521936,-0.005063,-0.017853,-0.027979,28.620001,178.530319,998.265076
0.000000,0.000000,0.000000,0.000000,-0.155623,-9.828198,-0.517148,-0.002132,-0.016787,-0.033841,28.620001,178.530319,998.265076
0.000000,0.000000,0.000000,0.000000,-0.155623,-9.837775,-0.378284,-0.004796,-0.015721,-0.039436,28.620001,178.530319,998.265076
